# vtk DataFile Version 2.0
field data: pressure, temperature
ASCII
DATASET STRUCTURED_POINT
DIMENSIONS          100         100
ORIGIN      0.4950E-02      0.4950E-02
SPACING      0.9901E-02      0.9901E-02
     0.1348E+06,      0.8076E-01
     0.1348E+06,      0.7067E-01
     0.1348E+06,      0.6057E-01
     0.1348E+06,      0.5048E-01
     0.1348E+06,      0.4038E-01
     0.1348E+06,      0.3029E-01
     0.1349E+06,      0.2019E-01
     0.1349E+06,      0.1010E-01
     0.1349E+06,      0.1020E-05
     0.1333E+06,      0.1000E+01
     0.1333E+06,      0.9899E+00
     0.1333E+06,      0.9798E+00
     0.1333E+06,      0.9697E+00
     0.1333E+06,      0.9596E+00
     0.1333E+06,      0.9494E+00
     0.1333E+06,      0.9393E+00
     0.1333E+06,      0.9292E+00
     0.1333E+06,      0.9191E+00
     0.1333E+06,      0.9090E+00
     0.1333E+06,      0.8989E+00
     0.1333E+06,      0.8888E+00
     0.1333E+06,      0.8787E+00
     0.1333E+06,      0.8685E+00
     0.1333E+06,      0.8584E+00
     0.1333E+06,      0.8483E+00
     0.1333E+06,      0.8382E+00
     0.1333E+06,      0.8281E+00
     0.1333E+06,      0.8180E+00
     0.1333E+06,      0.8079E+00
     0.1333E+06,      0.7978E+00
     0.1333E+06,      0.7876E+00
     0.1333E+06,      0.7775E+00
     0.1333E+06,      0.7674E+00
     0.1333E+06,      0.7573E+00
     0.1333E+06,      0.7472E+00
     0.1333E+06,      0.7371E+00
     0.1333E+06,      0.7270E+00
     0.1333E+06,      0.7169E+00
     0.1333E+06,      0.7068E+00
     0.1333E+06,      0.6967E+00
     0.1333E+06,      0.6866E+00
     0.1333E+06,      0.6765E+00
     0.1333E+06,      0.6664E+00
     0.1333E+06,      0.6562E+00
     0.1333E+06,      0.6461E+00
     0.1333E+06,      0.6360E+00
     0.1333E+06,      0.6259E+00
     0.1334E+06,      0.6158E+00
     0.1334E+06,      0.6057E+00
     0.1334E+06,      0.5956E+00
     0.1334E+06,      0.5855E+00
     0.1334E+06,      0.5754E+00
     0.1334E+06,      0.5653E+00
     0.1334E+06,      0.5552E+00
     0.1334E+06,      0.5451E+00
     0.1334E+06,      0.5350E+00
     0.1334E+06,      0.5249E+00
     0.1334E+06,      0.5148E+00
     0.1334E+06,      0.5047E+00
     0.1334E+06,      0.4946E+00
     0.1334E+06,      0.4845E+00
     0.1334E+06,      0.4744E+00
     0.1334E+06,      0.4643E+00
     0.1334E+06,      0.4542E+00
     0.1334E+06,      0.4441E+00
     0.1334E+06,      0.4340E+00
     0.1334E+06,      0.4239E+00
     0.1334E+06,      0.4138E+00
     0.1334E+06,      0.4037E+00
     0.1334E+06,      0.3937E+00
     0.1334E+06,      0.3836E+00
     0.1334E+06,      0.3735E+00
     0.1334E+06,      0.3634E+00
     0.1334E+06,      0.3533E+00
     0.1334E+06,      0.3432E+00
     0.1334E+06,      0.3331E+00
     0.1334E+06,      0.3230E+00
     0.1334E+06,      0.3129E+00
     0.1334E+06,      0.3028E+00
     0.1334E+06,      0.2927E+00
     0.1334E+06,      0.2826E+00
     0.1334E+06,      0.2725E+00
     0.1334E+06,      0.2624E+00
     0.1334E+06,      0.2523E+00
     0.1334E+06,      0.2422E+00
     0.1334E+06,      0.2321E+00
     0.1334E+06,      0.2221E+00
     0.1334E+06,      0.2120E+00
     0.1334E+06,      0.2019E+00
     0.1334E+06,      0.1918E+00
     0.1334E+06,      0.1817E+00
     0.1334E+06,      0.1716E+00
     0.1334E+06,      0.1615E+00
     0.1334E+06,      0.1514E+00
     0.1334E+06,      0.1413E+00
     0.1334E+06,      0.1312E+00
     0.1334E+06,      0.1211E+00
     0.1334E+06,      0.1110E+00
     0.1334E+06,      0.1009E+00
     0.1334E+06,      0.9084E-01
     0.1334E+06,      0.8075E-01
     0.1334E+06,      0.7066E-01
     0.1334E+06,      0.6056E-01
     0.1334E+06,      0.5047E-01
     0.1334E+06,      0.4037E-01
     0.1334E+06,      0.3028E-01
     0.1334E+06,      0.2019E-01
     0.1334E+06,      0.1009E-01
     0.1334E+06,      0.1020E-05
     0.1319E+06,      0.1000E+01
     0.1319E+06,      0.9899E+00
     0.1319E+06,      0.9798E+00
     0.1319E+06,      0.9697E+00
     0.1319E+06,      0.9595E+00
     0.1319E+06,      0.9494E+00
     0.1319E+06,      0.9393E+00
     0.1319E+06,      0.9292E+00
     0.1319E+06,      0.9191E+00
     0.1319E+06,      0.9090E+00
     0.1319E+06,      0.8989E+00
     0.1319E+06,      0.8888E+00
     0.1319E+06,      0.8786E+00
     0.1319E+06,      0.8685E+00
     0.1319E+06,      0.8584E+00
     0.1319E+06,      0.8483E+00
     0.1319E+06,      0.8382E+00
     0.1319E+06,      0.8281E+00
     0.1319E+06,      0.8180E+00
     0.1319E+06,      0.8079E+00
     0.1319E+06,      0.7977E+00
     0.1319E+06,      0.7876E+00
     0.1319E+06,      0.7775E+00
     0.1319E+06,      0.7674E+00
     0.1319E+06,      0.7573E+00
     0.1319E+06,      0.7472E+00
     0.1319E+06,      0.7371E+00
     0.1319E+06,      0.7270E+00
     0.1319E+06,      0.7169E+00
     0.1319E+06,      0.7068E+00
     0.1319E+06,      0.6966E+00
     0.1319E+06,      0.6865E+00
     0.1319E+06,      0.6764E+00
     0.1319E+06,      0.6663E+00
     0.1319E+06,      0.6562E+00
     0.1319E+06,      0.6461E+00
     0.1319E+06,      0.6360E+00
     0.1319E+06,      0.6259E+00
     0.1319E+06,      0.6158E+00
     0.1319E+06,      0.6057E+00
     0.1319E+06,      0.5956E+00
     0.1319E+06,      0.5855E+00
     0.1319E+06,      0.5754E+00
